tx,tn,Lat,Lon,Estacion,Alt
17.15483871,7.503225806,-15.823,-70.018,PUNO,3840
14.30967742,0.325806452,-15.491,-70.678,PAMPAHUTA,4320
15.73225806,3.14516129,-14.796,-70.728,CHUQUIBAMBILLA,3910
17.98064516,3.567741935,-14.881,-70.593,AYAVIRI,3920
16.86129032,6.016129032,-14.695,-70.356,PROGRESO,3905
17.41290323,4.032258065,-15.356,-70.373,LAMPA,3900
17.83870968,4.532258065,-14.915,-70.191,AZANGARO,3863
17.5483871,4.774193548,-15.136,-70.119,ARAPA,3920
17,4.4,-14.779,-69.966,MUÑANI,4119
16.22580645,3.761290323,-15.203,-69.763,HUANCANE,3860
15.79354839,4.264516129,-15.39,-69.491,HUARAYA MOHO,3890
15.38709677,5.135483871,-15.616,-69.844,CAPACHICA,3819
30.2516129,19.5516129,-14.22,-69.152,TAMBOPATA,1264
18.7483871,-0.132258065,-16.746,-69.712,MAZO CRUZ,3970
16.10322581,4.703225806,-16.085,-69.644,ILAVE,3850
15.36774194,5.812903226,-16.203,-69.457,JULI,3825
16.01290323,3.593548387,-16.305,-69.068,TAHUACO - YUNGUYO,3860
16.9516129,6.622580645,-16.569,-69.04,DESAGUADERO,3860
